_id,jobTitle,companyName,requiredQualification,experience,salary,jobLocation,jobType,contactEmail,jobDescription,jobLocationLat,jobLocationLong,jobdistance
19le2x71eowvzrk7vk,Quality Assurance Engineer,Titan Corp,9,11,103,Birgunj,0,pacifice551@gmail.com,Work with cutting-edge technology,27.0268971813,83.5693132431,0.0000981084
9mvru0w22ro1k8vj4m,Pharmacist,Noble Ventures,10,15,107,Hetauda,2,diamondc668@company.com,Opportunity to make an impact,28.0079413818,80.0679190832,0.0000815817
0zeukqh0up44zsba6w,Digital Marketing Specialist,Metro Trading,9,1,22,Nepalgunj,3,silverso132@gmail.com,Excellent opportunity for career growth,26.8138377816,82.6129195985,0.0000342443
mn8osm9p6v75ct4smf,Customer Service Representative,Pacific Enterprises,7,11,119,Dhangadhi,2,karmaind610@company.com,Join our fast-growing company,26.5340633006,81.2014983761,0.0000156285
oh6tyfb77g2zicz6ub,Product Manager,Summit Enterprises,1,3,133,Nepalgunj,0,apextrad48@company.com,Work with talented professionals,26.7023111739,87.4663720336,0.0000481010
o00pauddgkm5gd8ap6,Chief Financial Officer,Omega Group,9,0,50,Nepalgunj,2,infinity379@outlook.com,Excellent opportunity for career growth,27.7695971305,84.4981826686,0.0000319243
qyfafjil3qfy9g1z1u,Digital Marketing Specialist,Wisdom Technologies,1,12,57,Kathmandu,1,royalind911@outlook.com,Work with talented professionals,28.5145286509,86.0897143108,0.0000733938
6o3dv5trtwrosbcq7d,Pharmacist,Quest Technologies,5,15,100,Tulsipur,3,wisdomte49@outlook.com,Work with talented professionals,28.6247426978,83.0472955796,0.0000069489
bxmw1mrcvtz5tdfsqq,Office Assistant,Royal Industries,5,13,20,Dhangadhi,2,bridgeco439@yahoo.com,Work with talented professionals,26.9376180714,81.2748370194,0.0000080135
6nbbkmenggjef5e3ji,Customer Service Representative,Tech Solutions Pvt Ltd,1,1,42,Itahari,3,betatech199@company.com,Join our fast-growing company,27.7417276151,83.7197084126,0.0000457723
3rjjqnsryk0onj39rz,Social Media Manager,Skyline Industries,3,4,85,Dharan,3,abcenter33@outlook.com,Work with talented professionals,28.8536880181,87.7514424275,0.0000446586
tkt7b86wqel6bbcvi9,Pharmacist,Silver Solutions,2,4,138,Biratnagar,2,phoenixl11@gmail.com,Kursi ma basne paisa kamaunsfi,26.3032021794,87.7427974803,0.0000314825
5wxuc4q6r77m33i8tz,HR Manager,ABC Enterprises,4,3,109,Bhaktapur,0,stellarg381@yahoo.com,Work with cutting-edge technology,26.7736446719,80.3077247028,0.0000979038
grc66yq3i6m5jsurbz,Pharmacist,Noble Ventures,9,14,124,Bharatpur,1,lotusgro79@company.com,Work with cutting-edge technology,26.3876549245,81.6459197378,0.0000694683
h1ip4tmnpzcy69a50q,Customer Service Representative,Castle Industries,4,15,144,Butwal,2,lotusgro901@gmail.com,Challenging role with great perks,27.7391355571,82.014604948,0.0000873474
zkm0e3xjk7g98p39ha,Doctor,Ace Solutions,6,8,79,Kathmandu,2,pacifice181@gmail.com,Join our fast-growing company,28.2195539484,81.389409359,0.0000969410
i8d7b6km3cgjs17acu,HR Manager,Tech Solutions Pvt Ltd,3,1,39,Birgunj,2,betatech242@outlook.com,Work with cutting-edge technology,28.6082346196,81.7647408562,0.0000991504
cd3f0hqv3b0ag8yzft,Receptionist,Lotus Group,8,13,25,Nepalgunj,2,crownind423@yahoo.com,Kursi ma basne paisa kamaunsfi,28.0608230882,87.9765898531,0.0000132738
vq3sekvbxi79xlzsxb,Chief Technology Officer,Wisdom Technologies,3,1,123,Itahari,0,quantums143@gmail.com,Work with cutting-edge technology,27.975717529,84.0112619737,0.0000979509
m6vamp9ql5hrcvtxgf,Web Developer,Innovation Hub,10,11,10,Bhaktapur,3,wisdomte229@yahoo.com,Opportunity to make an impact,28.1529601861,85.3320321072,0.0000964728
